Compounds,Samp.rm3-1-A,Samp.rm3-1-B,Samp.rm3-1-C,Samp.rm3-1-D,Samp.rm3-1-E,Samp.rm3-1-F,Samp.rm3-2-A,Samp.rm3-4-A,Samp.rm3-4-B,Samp.rm3-7-A,Samp.rm3-8-A,Samp.rm3-9-A,Samp.rm3-10-A,Samp.rm3-13-A,Samp.rm3-16-A,Samp.rm3-17-A,Samp.rm3-17-B,Samp.rm3-17-C,Samp.rm3-18-A,Samp.rm3-18-B,Samp.rm3-18-C,Samp.rm3-18-D,Samp.rm3-19-A,Samp.rm3-19-B,Samp.rm3-19-C,Samp.rm3-19-D,Samp.rm3-19-E,Samp.rm3-20-A,Samp.rm3-20-B,Samp.rm3-20-C,Samp.rm3-20-D,Samp.rm3-21-A,Samp.rm3-21-B,Samp.rm3-21-C,Samp.rm3-23-A,Samp.rm3-23-B,Samp.rm3-24-A,Samp.rm3-24-B,Samp.rm3-24-C,Samp.rm3-24-D,Samp.rm3-25-A,Samp.rn3-26-A,Samp.rn3-26-B,Samp.rm3-28-A,Samp.rm3-28-B,Samp.rm3-30-A,Samp.rm3-31-A,Samp.rm4-6-A,Samp.rm4-6-B,Samp.rm4-6-C,Samp.rm4-6-D,Samp.rm4-6-E,Samp.rm4-6-F,Samp.rm4-6-G,Samp.rm4-7-A,Samp.rm4-7-B,Samp.rm4-9-A,Samp.rm4-9-B,Samp.rm4-13-A,Samp.rm4-17-A,Samp.rm1-2-A,Samp.rm1-4-A,Samp.rm1-5-A,Samp.rm1-9-A,Samp.rm1-13-A,Samp.rm1-13-B,Samp.rm1-14-A,Samp.rm1-16-A,Samp.rm1-16-B,Samp.rm1-16-C,Samp.rm1-17-A,Samp.rm1-18-A,Samp.rm1-19-A,Samp.rm1-20-A,Samp.rm1-20-B,Samp.rm1-20-C,Samp.rm1-20-D,Samp.rm1-21-A,Samp.rm1-21-B,Samp.rm1-22-A,Samp.rm1-22-B,Samp.rm1-24-A,Samp.rm1-24-B,Samp.rm1-31-A,Samp.rm1-31-B,Samp.rm5-7-A,Samp.rm5-8-A,Samp.rm5-12-A,Samp.rm5-16-A,Samp.rm5-16-B,Samp.rm5-17-A,Samp.rm5-23-A,Samp.rm5-23-B,Samp.rm5-24-A,Samp.rm5-24-B,Samp.rm5-27-A,Samp.rm5-29-A,Samp.rm5-29-B,Samp.rm2-1-A,Samp.rm2-3-A,Samp.rm2-5-A,Samp.rm2-5-B,Samp.rm2-6-A,Samp.rm2-7-A,Samp.rm2-8-A,Samp.rm2-9-A,Samp.rm2-9-B,Samp.rm2-9-C,Samp.rm2-9-D,Samp.rm2-11-A,Samp.rm2-11-B,Samp.rm2-11-C,Samp.rm2-11-D,Samp.rm2-13-A,Samp.rm2-13-B,Samp.rm2-13-C,Samp.rm2-13-D,Samp.rm2-15-A,Samp.rm2-15-B,Samp.rm2-15-C,Samp.rm2-16-A,Samp.rm2-16-B,Samp.mr2-16-C,Samp.rm2-16-D,Samp.rm2-17-A,Samp.rm2-17-B,Samp.rm2-17-C,Samp.rm2-17-D,Samp.rm2-18-A,Samp.rm2-18-B,Samp.rm2-18-C,Samp.rm2-18-D,Samp.rm2-19-A,Samp.rm2-20-A,Samp.rm2-20-B,Samp.rm2-21-A,Samp.rm2-21-B,Samp.rm2-23-A,Samp.rm2-23-B,Samp.rm2-23-C,Samp.rm2-23-D,Samp.rm2-25-A,Samp.rm2-25-B,Samp.rm2-25-C,Samp.rm2-25-D,Samp.rm2-26-A,Samp.rm2-27-A,Samp.rm2-27-B,Samp.rm2-28-A,Samp.rm2-28-B,Samp.rm2-28-C,Samp.rm2-28-D,Samp.rm2-28-E,Samp.rm2-29-A,Samp.rm2-29-B,Samp.rm2-30-A,Samp.rm2-31-A,Samp.rm2-31-B,Samp.rm2-31-C,Samp.rm2-32-A,Samp.rm2-32-B,Samp.rm2-32-C,Samp.rm2-32-D,Samp.rm2-32-E,Samp.rm2-32-F,Samp.rm2-32-G,Samp.rm2-32-H,Samp.rm2-33-A,Samp.rm2-33-B,Samp.rm2-33-C
Comp.trans-furanoid-linalool-oxide,,,,,,,36936,15988,18824,,2115105,24013,2916900,,,10104,,,,,,63015,,,,,,,173285,123907,100237,,,,,,2665876,144100,624097,836164,,,,,,,,,,,,,,,,,,,,,10327,20099,,13160,27668,9529,31891,6812,2260,38785,8577,7050,26510,,,18615,6943,16819,8202,12044,7863,19924,7690,10688,,,28308,,,,,,,,,,806774,1431440,,20220,6158,,,,,,,32875,,,35338,44456,32658,23020,12617,24381,53246,,9308,,20939,68498,29038,,49142,39949,,8461,,5132,11083,,25806,27200,,11595,21863,18422,26245,40275,82610,4173,13596,,11014,30881,14100,31116,8404,6964,25239,26386,,41128,43552,21403,1397,56962,,,,27063,8162,13289,9194,9194,,22143,25486,
Comp.pyran-lin-oxide-ketone,,,,,,,,,,,,,779951,,,,,,,,,,,,,,,115566,333512,171770,178701,,,,,,,67929,112195,198765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comp.trans-2-methylbutyraldoxime,1687312,305388,71836,263296,420111,171744,166124,1555637,989310,647326,98933,779448,15507675,419901,69559,20304012,38835426,20622306,,110655,611724,38523,312015,738510,682833,1034394,509792,115028,1170153,303502,794993,80527,,31364,399696,,18902393,9112700,20699183,23460821,1619304,23322,61090,,58236,250455,88524,11227797,55964298,70385292,62481749,76169956,76545297,71935157,213465,201538,14948771,266521,15964445,14849501,15362536,7890194,2116108,1779633,23934782,8987864,53642356,1465671,1380262,1141469,50127921,1783573,9384344,632864,1131988,7746641,4401575,3496369,242763,3006230,496813,10797571,7272099,2590141,916091,2619736,54113696,35775073,25276767,5654009,465455,62760003,24642825,7843009,2345305,4288702,2513322,3693258,1596221,13600807,1782640,1023600,10746268,2738652,2498369,23928648,24439399,41502290,7671911,31360381,37656452,55766501,40231895,27741753,17513210,55712882,55710916,10069978,5277523,560391,13422547,66282935,47655617,6005138,42128482,42524216,25972938,38674181,21834704,15658647,43890453,6288679,46964873,26946793,7060186,2138599,6172000,47792238,46109335,43606396,34348530,24231649,24902029,6895450,6110573,29500786,7837285,5847430,36166401,10452306,57022469,45825666,3954368,9426604,4855370,24417889,1667976,5370417,451631,207593,94899,1325342,10123736,9252500,7989481,7984484,149293,1062362,1288716,150192
Comp.trans-3-methylbutyraldoxime,121417,226902,443556,90741,99948,34440,583673,208432,244860,57475,100038,52656,13033946,44617,,5838024,12112464,7017405,429379,29177,157764,,56776,162021,203008,710716,136940,33105,217284,12964,354052,383183,32182,,,,12401136,2007201,7545133,6608459,,8937,,,,,38336,1866016,13750534,44933920,17117169,21402818,17510025,17899261,,,39457199,1868375,2760744,6843039,4854232,32207182,19869538,19158413,7015850,2384685,28103310,8979017,7021371,5175785,21705629,8794259,105759921,10041649,12330844,76553745,49002981,25270961,3599745,65505135,12893179,45661666,44611243,29374637,29866944,42855221,7463898,13463776,5038528,1006978,5582204,24952417,12878316,1130209,300016,743948,1605205,2783976,33117122,6526744,24710667,19573141,6866622,29593612,17184177,27576909,25367282,26855417,3674598,20149420,21465667,38356050,25063235,24187922,6152511,28631575,31190588,3060092,1395821,115332,10664544,60443747,36591814,4103518,17479541,20403636,10403511,16804698,16900570,16228432,29083488,2145852,30442096,15659585,3381655,22689139,71717002,19786248,26735877,21723056,16322337,9478935,9116454,2781892,2470596,35038773,50154279,54436468,16759639,3976515,27280816,27024933,1285034,90189278,39795799,11794912,11513753,56756134,5266931,3443047,1099894,30946918,28213588,30904636,33718603,34818342,3852207,20440692,20384601,3870555
Comp.cis-2-methylbutyraldoxime,392505,183674,102231,90918,,34139,122280,333751,281510,217603,32801,226275,4384892,81584,,5088440,10897212,5225430,83597,24591,236361,,68964,300577,301566,227477,126599,33668,346123,45962,285280,258541,,26222,55684,,5059267,2829271,6131624,6672922,344850,,18431,,,48564,14986,2598749,19471056,50844150,24031628,44232860,26095350,23657319,41777,37015,6777417,103988,4326443,3970551,4014969,2524361,989599,869065,6991143,2340338,20388236,609983,437800,504733,17753682,640057,11280421,237034,554494,5256643,2384307,1518915,127176,3020904,456759,3489342,3627858,1304525,767894,2098472,21610054,9307302,6680623,1229602,342398,23843699,6566101,1498625,531441,1116065,683727,1027406,1450829,3808847,1253266,583948,3193490,1610246,1096622,8138102,6776614,12265522,1936245,7989309,12487838,20343555,11801824,8875713,4771777,19576974,19451666,2444270,1251014,107452,4221988,21990017,15397748,1503691,14542265,14160767,7356758,12664891,7051840,4767314,13829886,1587001,14643320,8009644,1547606,1181918,4302662,15296672,15337475,14427521,9837925,6316060,6706934,1462470,1390511,10156243,3503678,4278163,9424774,2554598,21860280,16333751,1084880,6995559,3008395,6945111,720322,3037257,280443,273326,50185,1234137,2904342,3065218,2884475,2577035,126393,1071922,1083181,110731
Comp.cis-3-methylbutyraldoxime,40167,176048,372680,88370,,23815,492528,93442,149204,45139,54274,84924,7541797,34644,,3595647,6691483,3697304,,15696,102543,,16684,77585,84243,476764,56532,21167,185517,4947,231720,164813,12375,19303,,,7057027,1138309,4921328,4799869,,7461,,,,,18539,721081,7001655,27809462,9260338,16121326,9389124,9078887,,,25449218,909423,1467235,3559419,2835680,20967663,11487991,12477935,4425854,1421401,16042081,4439173,3589419,2849414,13113855,4246350,91969979,5083439,6186816,61969974,37271390,14262490,1908491,43546987,7338561,34546025,34242932,18253037,18895730,27321935,4245863,6634939,2132104,437789,3111799,16773637,6367783,320402,109111,288549,750124,1274984,19226242,3420259,16604255,12134016,3580608,19076515,9914626,19947549,13688213,17107583,2227376,9806982,13250467,27066835,16327623,13880202,3519496,21961007,21258302,1331431,660546,64556,6670999,44141356,26197253,1829336,11132446,12780857,5846339,9003625,9360942,8801992,17519683,1095451,18610067,8200691,1444990,14632913,49874028,12738970,13569969,14143221,7456157,5001442,5181461,1259597,1217155,19999088,34366164,38262417,8468451,1931945,16787747,10316998,788515,80551691,29335926,5165974,7231157,40113603,3411402,4100840,619200,20705693,17399506,17944025,23428209,23908771,2093920,18122185,18250315,1892941
Comp.linalool,4137927,1041780,3477145,1923599,1447399,1215344,82082414,56851581,47070875,3772168,5358809,73750449,3357657,2001236,665152,7558895,486702,1733419,7354411,866163,7839034,13611887,13365340,7155608,29763957,6465995,32996393,154464,5903651,150827,615899,176753,104268,248530,16044521,,12459489,19150097,15075038,17235220,177673334,278256,3630797,,1262964,24757384,3177407,242708,3129815,58716957,14661220,550240,15861352,37474923,1958026,2275011,42369188,32366602,2818946,879680,79209520,77362177,93600737,79994127,72707896,48061230,90449007,43237549,54101941,66316685,114408242,64054807,113636687,28898792,33801786,88629080,71707718,110754214,33042453,129018502,102558883,92920980,136219631,105287957,49390980,71506153,124174574,149827403,32354323,12760190,27547497,90636025,60231466,42303339,11065028,30226222,1974868,2764438,70752399,105622827,15712156,37566549,52390389,75903059,75188929,138303840,135893057,104114697,26566682,123282617,92054401,106630815,89917913,134796285,34913188,133508292,133672515,25311428,31857613,10615040,96710722,306199516,119802290,36231752,120709582,119065155,84293798,110832419,90264194,92351836,104858536,6169524,177289874,129559951,61455453,113399566,155290713,83415015,83613007,100412439,85026614,72045341,71671598,53319365,65831857,139259944,106117215,105354411,150510956,75063716,132932610,120279957,3884734,99371401,84250220,89807331,38497414,132432927,27694958,74367119,7054701,86306342,73151174,73262898,97284301,97183436,30306743,99456999,99397840,30469021
Comp.beta-caryophyllene,139658,35172,,92799,112128,38544,,1005434,836876,235231,,58819,,45134,172169,,,,24845,488190,51318,705153,182935,388019,751868,846449,978534,,,,19363,1614057,66210,473529,221067,,,,,,2364003,,252276,,412370,,,,54028,778165,47279,115761,62121,92855,11821,23203,,,,7468,,654172,378795,,2278848,987143,26137,,,16644,54249,,,,,42517,35525,,,,10883,62193,93198,,1727142,1272498,57003,70385,,,54889,,,,,304007,24733,33350,,,,,,11702,,215903,89529,86397,,277672,321615,825876,546948,,,,,,,,63707,518737,262909,,302760,355152,334276,147543,,,,,,,,,,51653,45531,107828,36118,,4845,,,53640,,,154767,43700,541572,354349,,121531,46546,,,79291,,,,,,,,,,,,
Comp.beta-farnesene,98570,166203,82943,560521,133282,86961,,38495,21411,26193,,200547,,166490,,91563,133525,94382,,,,,,,,,,,34534,25793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30045,28505,,,,285172,,,,,,,9156,,127910,26116,,,,,480868,211322,16363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comp.alpha-humulene,,,,,,,,97321,80265,9759,,6496,,,,,,,,41605,,34923,,16143,33281,47385,53420,,,,,74926,,18255,,,,,,,153555,,7392,,,,,,,58515,,,,,,,,,,,,,18898,,155478,,,,,,,,,,,,,,,,,,,,108259,68507,,,,,,19890,,,,9414,,13404,,,,,,,,11479,,,,7651,21368,74495,41262,,,,,,,,,20040,12531,,27530,19897,20194,,,,,,,,,,,,,,,,,,,,,,21179,,69378,64746,,6609,,,,,,,,,,,,,,,,
