Compounds,Samp.rm3-1-A,Samp.rm3-1-B,Samp.rm3-1-C,Samp.rm3-1-D,Samp.rm3-1-E,Samp.rm3-1-F,Samp.rm3-2-A,Samp.rm3-4-A,Samp.rm3-4-B,Samp.rm3-7-A,Samp.rm3-8-A,Samp.rm3-9-A,Samp.rm3-10-A,Samp.rm3-13-A,Samp.rm3-16-A,Samp.rm3-17-A,Samp.rm3-17-B,Samp.rm3-17-C,Samp.rm3-18-A,Samp.rm3-18-B,Samp.rm3-18-C,Samp.rm3-18-D,Samp.rm3-19-A,Samp.rm3-19-B,Samp.rm3-19-C,Samp.rm3-19-D,Samp.rm3-19-E,Samp.rm3-20-A,Samp.rm3-20-B,Samp.rm3-20-C,Samp.rm3-20-D,Samp.rm3-21-A,Samp.rm3-21-B,Samp.rm3-21-C,Samp.rm3-23-A,Samp.rm3-23-B,Samp.rm3-24-A,Samp.rm3-24-B,Samp.rm3-24-C,Samp.rm3-24-D,Samp.rm3-25-A,Samp.rn3-26-A,Samp.rn3-26-B,Samp.rm3-28-A,Samp.rm3-28-B,Samp.rm3-30-A,Samp.rm3-31-A,Samp.rm4-6-A,Samp.rm4-6-B,Samp.rm4-6-C,Samp.rm4-6-D,Samp.rm4-6-E,Samp.rm4-6-F,Samp.rm4-6-G,Samp.rm4-7-A,Samp.rm4-7-B,Samp.rm4-9-A,Samp.rm4-9-B,Samp.rm4-13-A,Samp.rm4-17-A,Samp.rm1-2-A,Samp.rm1-4-A,Samp.rm1-5-A,Samp.rm1-9-A,Samp.rm1-13-A,Samp.rm1-13-B,Samp.rm1-14-A,Samp.rm1-16-A,Samp.rm1-16-B,Samp.rm1-16-C,Samp.rm1-17-A,Samp.rm1-18-A,Samp.rm1-19-A,Samp.rm1-20-A,Samp.rm1-20-B,Samp.rm1-20-C,Samp.rm1-20-D,Samp.rm1-21-A,Samp.rm1-21-B,Samp.rm1-22-A,Samp.rm1-22-B,Samp.rm1-24-A,Samp.rm1-24-B,Samp.rm1-31-A,Samp.rm1-31-B,Samp.rm5-7-A,Samp.rm5-8-A,Samp.rm5-12-A,Samp.rm5-16-A,Samp.rm5-16-B,Samp.rm5-17-A,Samp.rm5-23-A,Samp.rm5-23-B,Samp.rm5-24-A,Samp.rm5-24-B,Samp.rm5-27-A,Samp.rm5-29-A,Samp.rm5-29-B,Samp.rm2-1-A,Samp.rm2-3-A,Samp.rm2-5-A,Samp.rm2-5-B,Samp.rm2-6-A,Samp.rm2-7-A,Samp.rm2-8-A,Samp.rm2-9-A,Samp.rm2-9-B,Samp.rm2-9-C,Samp.rm2-9-D,Samp.rm2-11-A,Samp.rm2-11-B,Samp.rm2-11-C,Samp.rm2-11-D,Samp.rm2-13-A,Samp.rm2-13-B,Samp.rm2-13-C,Samp.rm2-13-D,Samp.rm2-15-A,Samp.rm2-15-B,Samp.rm2-15-C,Samp.rm2-16-A,Samp.rm2-16-B,Samp.mr2-16-C,Samp.rm2-16-D,Samp.rm2-17-A,Samp.rm2-17-B,Samp.rm2-17-C,Samp.rm2-17-D,Samp.rm2-18-A,Samp.rm2-18-B,Samp.rm2-18-C,Samp.rm2-18-D,Samp.rm2-19-A,Samp.rm2-20-A,Samp.rm2-20-B,Samp.rm2-21-A,Samp.rm2-21-B,Samp.rm2-23-A,Samp.rm2-23-B,Samp.rm2-23-C,Samp.rm2-23-D,Samp.rm2-25-A,Samp.rm2-25-B,Samp.rm2-25-C,Samp.rm2-25-D,Samp.rm2-26-A,Samp.rm2-27-A,Samp.rm2-27-B,Samp.rm2-28-A,Samp.rm2-28-B,Samp.rm2-28-C,Samp.rm2-28-D,Samp.rm2-28-E,Samp.rm2-29-A,Samp.rm2-29-B,Samp.rm2-30-A,Samp.rm2-31-A,Samp.rm2-31-B,Samp.rm2-31-C,Samp.rm2-32-A,Samp.rm2-32-B,Samp.rm2-32-C,Samp.rm2-32-D,Samp.rm2-32-E,Samp.rm2-32-F,Samp.rm2-32-G,Samp.rm2-32-H,Samp.rm2-33-A,Samp.rm2-33-B,Samp.rm2-33-C
Comp.neral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3267,,17600,173594,,,,,,,,,,13266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142680,144394,180028,156231,,17786,15295,13219,,,,,,,,,,,132668,,,,,,,,,,,,,,
Comp.alpha-terpineol,58652,32873,30586,259078,25830,46329,83722,57526,47434,25091,,60109,,7300,,283806,253402,62859,13682,,16199,95380,10270,,24419,,100971,,,,,64440,73577,32536,,,95549,25404,59356,68637,117925,,,,,,,,,79777,11174,,15065,25738,,,57828,17730,,,,30387,8094,6245,,50808,9781,,,,26404,,19379,,,,,8906,,21079,6757,16997,25503,,,27468,104241,108197,15091,11760,,149936,30460,27155,,16390,,10822,99604,115903,18409,59510,46340,29220,149006,272542,178954,206498,,112297,240768,358854,232784,124570,52393,589180,614123,16975,15684,13306,88751,514628,242203,,252569,209469,91163,80722,144767,125321,239057,,171344,27978,,141508,221347,458881,475992,414148,416531,108130,109142,43628,65568,262775,265474,289198,240589,80583,621774,372466,,193188,85928,218784,35307,352287,45333,138041,,161312,204717,206788,313508,322633,,279787,288138,21529
Comp.Z-E-alpha-farnesene,77526,113005,56211,402800,108896,70798,,,,,,154412,,155953,,103735,135424,102451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26653,6462,,,,223378,,,,,,,,,95500,8966,,,,,473643,198820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comp.geranial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11467,,84809,,8365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47048,309135,,,11649,14930,,70789,25774,,,45595,,,,,,25519,63910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372967,362002,414669,394751,,5030,28336,43885,,,,,,,,,,,277844,,,,,,,,,,,,,,
Comp.cis-pyranoid-linalool-oxide,,,,,,,,,35881,,1674502,,,,,,,,,,,,,,,,,24384,131510,51362,69010,,,,,,1638595,99553,404151,571880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105832,233211,,,,,,,,,,,,,,,,,21243,,,,,,,,,,,,,,17205,,,,,,,,,,,,,,,,,,,,,18538,,,,,,,,,,,,,,,,,,,,
Comp.E-E-alpha-farnesene,47081057,,39178089,103491225,50121406,39619978,,,,,,64624198,,69448304,,56104031,60943447,48432799,,58245,,,,,,,,,47708,39423,37919,,,,,,,,,,,,,,,,,,,7434,,244696,,,,,,,,,6492,19157351,11729247,2903068,,51067,40521480,,,,,,77018,,2728858,47094719,12969327,,1885999,,,28583983,14686690,13115253,77735,,,2265092,,,,,,,,13971,,203903,,,,,,,,,,1776243,,,,,,,,,,,,,,,,,,52729,,,,,,,,,,,,,,21274,,,,,,,,,,,,,372673,,,,,,,,,,,,,,,,,
Comp.citronellol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62185,56036,75073,132894,,15969,9963,9371,,,,,,,,,,,,,,,,,,,,,,,,,
Comp.trans-pyranoid-linalool-oxide,,51764603,,,,,,24833,264554,,16614873,,15652665,,,,,,,,,,,,,,,231787,734860,299820,414888,41217,,,,,22146071,903404,4076881,6166918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6418,,,,4585950,,,,,,,,,,,,,,,,,,,,,,,3386036,6304892,,,,,,,,15537,,,,,,,,50186,318466,9057,,,17769,,27203,60652,,,,,,,25209,,,,,39995,,,,,,,,,,,,14776,16604,,278051,125177,,,,5577,,,,,,,,22318,,,,,,,,
Comp.nerol,,,,,,,,,,,,,,,,2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3361,9040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92440,92440,81623,184303,21077,29251,14329,16436,,,,,,,,,,,78885,,,,,,,,,,,,,,
Comp.geraniol,,,,38393,,,67818,,,1128926,,,,,,1114180,106097,58295,292994,137607,499682,78308,,116840,53183,61043,,,54281,,22695,71505,,12128,,,,,,,80180,,,,135970,,,15942,611726,6695891,1499708,,1280738,3575627,327080,377867,211288,76229,,5424,,26506,,,,,207229,,,,159736,,,,,,24732,14881,,,,174767,,,5723673,35164662,,,3882120,4132499,,16392379,7769092,204489,,11303947,,,,,629498,4219726,8711940,,,,,,,,,,,,,62602,64243,1365391,2558558,3851607,,,,,140477,,,,,,,,,,,,,26876959,26887748,19859379,23339035,9661696,9674897,9113992,12415189,,,,,,,,,,,19379319,,,,,,,,,,,,,,
Comp.2methylbutyl-benzoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comp.2phenylethanol,213375,,,38443,11693,5369,15991,,,,,,28191,,,,,,,,,,,,,,,,,,,,,,,,,,,,8945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comp.phenylacetonitrile,96549,20998,,94252,30656,23614,81512,,,,,32411,27148,38341,,,,,,19468,,,,,,,,,,,,,,,,,,,,,30929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comp.farnesene-epoxide,,88472,47416,73933,,13283,,,,,,19397,,,,280338,154077,188047,,,,427710,,,,,,,,,,,,,,,,,,,,,,,67138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comp.caryophyllene-oxide,,,,35975,,,,230011,233626,13360,,75446,,27411,,,,,,403998,,,,,,,,,,,,222824,,32804,,,,,,,241924,,,,,,,,,34533,,,,,,,,,,,,,19845,,,,35287,,,,,,,,,98595,,,,,,25736,,,32974,35217,28716,,,,71567,,,,,,,,0,0,0,0,0,0,0,66713,0,63244,0,0,0,0,0,0,0,0,0,0,0,0,0,32636,9844,0,0,0,60758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90964,17887,287235,238832,0,0,0,0,0,20697,0,0,0,0,0,0,0,0,0,0,0,0
Comp.nerolidol,75502,,,,,,,,,,,,,,74808,,,,,,,,,138255,19795,16081,141547,133205,255854,203496,309429,,,,,,,,,,19702,100669,78191,,,,,,62358,70024,7863,59676,,16036,,,17304,49589,,12153,37657,,,,,,160730,,,,149263,,165132,,,,,,,,,,,,70643,39017,,,,,,232008,51871,,,66558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comp.nitrophenylethane,160200,,,62596,,,70143,,,,,,20078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comp.phenylacetaldoxime,683773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comp.isophytol,182147,14652,85775,65075,56879,30927,22694,52887,64711,12388,,68006,,43184,,62330,21578,25629,,,,,116315,109862,183193,88860,279301,,,,,,,,,,,44308,19725,30018,,,,,39133,,,,116676,53287,72206,54006,27615,78184,18624,25660,,52382,,,104564,,,,72208,39412,116280,24144,,42002,76328,,,,25857,165859,43977,,,114353,61613,,,,,35024,88713,67317,,,,18268,51822,109639,,21859,,58310,67329,220110,119495,119786,,255751,237323,274830,129095,422344,,227649,329486,217363,257004,38338,75734,117990,139202,35009,48529,94068,83504,291337,69941,64932,166998,147940,255270,13225,172114,141311,210202,110047,217166,175897,357739,446515,102610,127528,145105,53759,57805,25691,47939,23062,40082,65073,256632,27438,113752,50352,231291,225949,,103855,57691,114600,106961,218698,289160,108866,,156942,320589,339246,726216,732279,122125,141975,137924,106866
Comp.farnesol,,,,,,,487530,1285173,754038,876857,461264,,299655,,444256,,,,583350,336920,411616,244562,701381,857572,93681,488644,1777129,297052,312202,218926,1096386,380847,292559,201219,224597,,285395,95671,234928,321843,1976994,290028,579803,,2522887,38436,880687,138867,873326,733713,745248,910517,349554,571845,187908,167361,720545,1382436,73733,385795,24506,,44017,,,,,,,,417674,,,,,,,129270,76095,,,,,,,702758,,81355,312925,219890,165555,676172,723270,265133,,91398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
