Population,Sample_ID_old,Sample_ID,Pop_Plant,Flower_ID,Type,Date,M.Corolla_D1,M.Corolla_D2,M.Tube_Flare,M.Stamen_Length,M.Style_Length,M.Hypanthium_Length,M.Pedicel_Length,M.Leaf_Number,M.Leaf_Length,M.Nectar_Column,M.Percent_Sugar,Fresh_Mass,Dry_Mass
Arizona,rm2-28,Samp.rm2-28-E,rm2-28,5,No,18-Jun-09,90.07,90.41,9.87,30.21,30.51,36.48,6.27,35,285.00,97,22.5,3.29,0.30
Arizona,rm2-29,Samp.rm2-29-A,rm2-29,1,Yes,4-Jun-09,78.77,76.44,7.40,25.24,33.57,151.24,6.16,19,273.88,,,,
Arizona,rm2-29,Samp.rm2-29-B,rm2-29,2,No,22-Jun-09,82.76,82.94,6.92,23.85,34.26,121.76,10.02,32,262.00,81,21.0,2.30,0.18
Arizona,rm2-30,Samp.rm2-30-A,rm2-30,1,Yes,22-Jun-09,89.79,91.21,8.11,35.20,26.51,153.59,7.37,35,257.00,196,30.0,2.55,0.31
Arizona,rm2-31,Samp.rm2-31-A,rm2-31,1,Yes,4-Jun-09,65.77,66.99,5.52,28.01,25.75,142.44,16.23,21,235.42,,,,
Arizona,rm2-31,Samp.rm2-31-B,rm2-31,2,No,22-Jun-09,,,,,,,,,,,,,
Arizona,rm2-31,Samp.rm2-31-C,rm2-31,3,No,25-Jun-09,86.43,88.53,7.07,22.73,21.68,141.51,9.97,,,109,23.0,2.16,0.21
Arizona,rm2-32,Samp.rm2-32-A,rm2-32,1,Yes,9-Jun-09,84.77,86.08,8.69,26.65,29.39,144.53,11.04,35,308.72,9,29.0,2.54,0.23
Arizona,rm2-32,Samp.rm2-32-B,rm2-32,2,No,11-Jun-09,97.72,95.25,8.32,28.98,32.33,144.26,0.00,32,234.00,138,25.0,2.49,0.30
Arizona,rm2-32,Samp.rm2-32-C,rm2-32,3,No,17-Jun-09,91.04,91.94,10.77,28.38,25.88,150.16,5.15,33,306.00,71,26.0,2.88,0.26
Arizona,rm2-32,Samp.rm2-32-D,rm2-32,4,No,18-Jun-09,97.73,100.23,9.61,28.27,32.02,141.05,4.17,38,260.00,100,18.0,3.05,0.26
Arizona,rm2-32b,Samp.rm2-32-E,rm2-32,5,No,18-Jun-09,,,,,,,,,,,,,
Arizona,rm2-32,Samp.rm2-32-F,rm2-32,6,No,25-Jun-09,106.28,102.82,8.30,30.43,32.12,152.04,7.02,,,111,23.5,3.15,0.21
Arizona,rm2-32b,Samp.rm2-32-G,rm2-32,7,No,25-Jun-09,,,,,,,,,,,,,
Arizona,rm2-32,Samp.rm2-32-H,rm2-32,8,No,29-Jun-09,,,,,,,,,,,,,
Arizona,rm2-33,Samp.rm2-33-A,rm2-33,1,Yes,22-Jun-09,89.91,89.46,9.43,24.62,25.99,142.07,3.51,36,272.00,126.5,27.0,2.68,0.22
Arizona,rm2-33b,Samp.rm2-33-B,rm2-33,2,No,22-Jun-09,,,,,,,,,,,,,
Arizona,rm2-33,Samp.rm2-33-C,rm2-33,3,No,29-Jun-09,89.85,93.53,9.68,19.93,20.69,141.77,2.26,,,100,26.0,2.78,0.30
