Population,Sample_ID_old,Sample_ID,Pop_Plant,Flower_ID,Type,Date,M.Corolla_D1,M.Corolla_D2,M.Tube_Flare,M.Stamen_Length,M.Style_Length,M.Hypanthium_Length,M.Pedicel_Length,M.Leaf_Number,M.Leaf_Length,M.Nectar_Column,M.Percent_Sugar,Fresh_Mass,Dry_Mass
Logan,rn3-26,Samp.rn3-26-A,rn3-26,1,Yes,3-Jun-09,63.07,65.86,7.19,23.98,23.67,112.86,12.03,32,252.58,,,,
Logan,rn3-26,Samp.rn3-26-B,rn3-26,2,No,11-Jun-09,65.10,63.54,8.61,24.41,25.00,113.52,11.03,23,259.00,73.5,33.0,1.85,0.17
Logan,rm3-28,Samp.rm3-28-A,rm3-28,1,No,9-Jun-09,82.46,76.43,7.79,26.19,31.73,99.17,15.10,41,212.00,43,27.0,1.78,0.20
Logan,rm3-28,Samp.rm3-28-B,rm3-28,2,Yes,25-Jun-09,87.66,83.45,7.27,27.08,29.45,99.18,20.15,,,29,29.0,1.83,0.12
Logan,rm3-30,Samp.rm3-30-A,rm3-30,1,Yes,1-Jun-09,57.40,55.40,6.42,19.67,24.24,92.96,25.41,42,258.00,12.01,,1.33,0.12
Logan,rm3-31,Samp.rm3-31-A,rm3-31,1,Yes,8-Jun-09,67.94,72.29,8.26,21.67,23.07,82.58,11.96,21,226.60,10,27.0,1.24,0.90
Idaho,rm4-6,Samp.rm4-6-A,rm4-6,1,Yes,9-Jun-09,76.32,75.19,8.25,28.00,26.27,96.47,25.17,33,259.00,7,30.0,2.29,0.20
Idaho,rm4-6,Samp.rm4-6-B,rm4-6,2,No,15-Jun-09,76.58,76.17,9.09,28.62,25.93,107.39,23.14,31,235.00,51,29.0,2.60,0.26
Idaho,rm4-6,Samp.rm4-6-C,rm4-6,3,No,17-Jun-09,84.63,84.16,9.09,26.48,21.71,93.56,23.52,34,252.00,43,24.0,2.56,0.18
Idaho,rm4-6,Samp.rm4-6-D,rm4-6,4,No,22-Jun-09,79.39,81.32,9.10,27.32,25.91,84.56,17.03,,,69,24.0,2.27,0.25
Idaho,rm4-6,Samp.rm4-6-E,rm4-6,5,No,23-Jun-09,73.53,69.50,8.90,24.70,28.75,90.00,19.57,,,,,2.20,0.28
Idaho,rm4-6,Samp.rm4-6-F,rm4-6,6,No,24-Jun-09,84.27,81.95,9.20,27.00,25.90,112.98,31.66,33,231.00,70,30.0,2.69,0.26
Idaho,rm4-6,Samp.rm4-6-G,rm4-6,7,No,29-Jun-09,82.67,83.74,8.42,27.97,29.31,76.96,14.55,,,29,22.0,2.20,0.19
Idaho,rm4-7,Samp.rm4-7-A,rm4-7,1,Yes,1-Jun-09,75.38,76.60,6.12,24.36,33.54,74.57,18.34,13,300.09,,,,
Idaho,rm4-7,Samp.rm4-7-B,rm4-7,2,No,3-Jun-09,79.53,80.54,6.06,25.68,35.18,80.23,15.76,13,146.00,8.5,35.0,1.71,0.23
Idaho,rm4-9,Samp.rm4-9-A,rm4-9,1,Yes,15-Jun-09,88.53,90.21,6.84,25.05,30.39,85.52,10.17,46,224.00,40,23.0,1.96,0.18
Idaho,rm4-9,Samp.rm4-9-B,rm4-9,2,No,25-Jun-09,97.95,98.90,8.95,29.95,34.57,97.40,12.19,,,73,28.0,2.58,0.24
Idaho,rm4-13,Samp.rm4-13-A,rm4-13,1,Yes,21-Jul-09,68.05,69.42,9.97,24.17,26.39,88.36,3.36,56,111.76,,,1.76,0.21
Idaho,rm4-17,Samp.rm4-17-A,rm4-17,1,Yes,3-Jun-09,62.85,64.14,7.24,27.74,26.39,85.11,25.29,24,254.66,19,31.0,1.40,0.14
Inyo,rm1-2,Samp.rm1-2-A,rm1-2,1,Yes,25-Jun-09,83.82,85.93,10.09,23.91,30.39,128.46,24.77,,,68,28.0,2.27,0.18
Inyo,rm1-4,Samp.rm1-4-A,rm1-4,1,Yes,23-Jun-09,64.28,65.46,8.07,24.49,,116.35,10.66,,,,,1.36,0.13
Inyo,rm1-5,Samp.rm1-5-A,rm1-5,1,Yes,29-Jun-09,85.36,87.31,7.66,29.52,37.58,116.20,26.26,,,93,28.5,2.22,0.20
Inyo,rm1-9,Samp.rm1-9-A,rm1-9,1,Yes,21-Jul-09,85.89,93.88,12.55,37.92,40.65,110.55,7.65,46,235.58,,,3.02,0.34
Inyo,rm1-13,Samp.rm1-13-A,rm1-13,1,Yes,18-Jun-09,79.38,80.11,6.88,32.61,31.50,99.78,11.91,32,210.00,35.5,20.5,1.92,0.16
Inyo,rm1-13,Samp.rm1-13-B,rm1-13,2,No,1-Jul-09,81.82,81.15,8.85,29.54,29.54,107.32,10.93,,154.32,,,1.53,
Inyo,rm1-14,Samp.rm1-14-A,rm1-14,1,Yes,16-Jun-09,95.50,91.65,11.38,30.42,33.41,123.17,9.67,14,221.00,37,28.5,2.97,0.30
Inyo,rm1-16,Samp.rm1-16-A,rm1-16,1,Yes,9-Jun-09,101.68,98.71,10.46,38.78,29.90,139.13,8.53,28,273.00,6,28.0,3.30,0.33
Inyo,rm1-16,Samp.rm1-16-B,rm1-16,2,No,29-Jun-09,100.74,101.77,10.55,37.92,41.76,153.13,5.49,,,103,26.0,3.26,0.27
Inyo,rm1-16,Samp.rm1-16-C,rm1-16,3,No,1-Jul-09,88.54,85.71,9.43,38.34,35.87,141.52,5.50,,338.48,,,2.53,
Inyo,rm1-17,Samp.rm1-17-A,rm1-17,1,Yes,17-Jun-09,94.29,94.88,10.12,36.10,23.60,139.21,4.64,26 (37),281.00,171,30.0,2.92,0.29
Inyo,rm1-18,Samp.rm1-18-A,rm1-18,1,Yes,8-Jun-09,88.47,87.75,8.48,31.09,26.41,130.35,21.79,30,274.92,21,30.0,2.08,0.25
Inyo,rm1-19,Samp.rm1-19-A,rm1-19,1,Yes,22-Jun-09,86.11,88.55,9.91,34.53,33.75,127.80,17.57,,,130,33.0,3.03,0.43
Inyo,rm1-20,Samp.rm1-20-A,rm1-20,1,Yes,8-Jun-09,79.98,81.63,7.47,31.76,33.78,127.04,10.79,37,252.48,80,23.0,2.62,0.31
Inyo,rm1-20,Samp.rm1-20-B,rm1-20,2,No,11-Jun-09,87.66,87.25,8.27,32.22,27.03,136.00,9.18,32,255.00,93,27.5,2.30,0.27
Inyo,rm1-20,Samp.rm1-20-C,rm1-20,3,No,23-Jun-09,89.55,89.76,8.90,24.76,35.20,143.77,14.06,,,,,2.17,0.26
